grande struttura;TantiMedici;Odontoiatri Universitari;Geologi SSN;Oper. tecn.di assist. Universitari;Biologi Universitari;Cod. e Denom. Str.Pubblica New;Tipo Struttura Pubblica;Ausiliari specializ. Universitari;Denominazione Str. Pubblica New;Tecnico-Sanitario Universitari;Addetti ai L.S.U. SSN;Medici Universitari;Assistenti sociali SSN;Analisti Universitari;Statistici SSN;Riabilitazione SSN;Assistenti religiosi SSN;Vigilanza e ispezione Universitari;Operatori tecnici Universitari;Vigilanza e ispezione SSN;Coadiutori Amminist. SSN;Odontoiatri SSN;Contrattisti Univ.;Oper. II cat. SSN;Specializzandi SSN;Coadiutori Amminist. Universitari;Oper. tecn. di assist. SSN;Ingegneri Universitari;Farmacisti SSN;Architetti SSN;Assistenti tecnici Universitari;Riabilitazione Universitari;Collabor. Amminist. Universitari;Codice Regione;Commessi Universitari;Addetti ai L.S.U. Univ.;Didattico-Organiz. Universitari;Assistenti tecnici SSN;Collab. tecn.profes. Universitari;Chimici Universitari;Assistenti Amminist. Universitari;Oper. I cat. Coor. Universitari;Psicologi SSN;Chimici SSN;Qualifiche Atipiche SSN;Specializzandi Univ.;Programmatori SSN;Operatori tecnici SSN;Programmatori Universitari;Sociologi Universitari;Statistici Universitari;Assistenti sociali Universitari;Farmacisti Universitari;Analisti SSN;Oper. I cat. Coor. SSN;Direttori Amminist. SSN;Oper. II cat. Universitari;Collabor. Amminist. SSN;Regione;Avvocati SSN;Tecnico-Sanitario SSN;Collab. tecn.profes. SSN;Anno di Riferimento;Geologi Universitari;Architetti Universitari;Codice Struttura Pubblica New;Biologi SSN;Avvocati Universitari;Ingegneri SSN;Qualifiche Atipiche Univ.;Assistenti Amminist. SSN;Fisici Universitari;Commessi SSN;Assistenti religiosi Universitari;Ausiliari specializ. SSN;Psicologi Universitari;Direttori Amminist. Universitari;Didattico-Organiz.SSN;Sociologi SSN;Contrattisti SSN;Codice Tipo  Struttura Pubblica;Fisici SSN;Medici SSN
0;0;;;0;0;030956   A.O. DESENZANO DEL GARDA - DESENZANO G.;AZIENDA OSPEDALIERA;0;A.O. DESENZANO DEL GARDA - DESENZANO G.;0;;0;4;;;88;1;0;0;7;80;;;54;;0;201;0;4;1;0;0;0;30;0;;0;14;0;;0;0;5;;;;1;197;0;;;0;0;;1.058;9;0;48;Lombardia;;128;3;2010;;0;30956;5;;3;;108;;6;0;133;0;0;1;;;0;;324
0;1;;;0;0;030957   A.O. ISTITUTI OSPEDALIERI - CREMONA;AZIENDA OSPEDALIERA;0;A.O. ISTITUTI OSPEDALIERI - CREMONA;0;;0;4;;;73;3;0;0;39;38;;;33;;0;164;0;7;;0;0;0;30;;;0;10;0;;0;0;9;;;;3;280;0;;;0;0;;944;6;0;46;Lombardia;;149;17;2010;;;30957;10;;3;;104;0;;0;2;0;0;1;;;0;5;338
0;1;;;0;0;030958   A.O. OSPEDALE MAGGIORE - CREMA;AZIENDA OSPEDALIERA;0;A.O. OSPEDALE MAGGIORE - CREMA;0;;0;3;;;58;;0;0;10;79;;;17;;0;119;0;4;1;0;0;0;30;;;0;7;0;;0;0;8;;;;2;110;0;;;0;0;;513;8;0;28;Lombardia;;77;6;2010;;0;30958;5;;1;;27;;;;2;0;0;1;;;0;;206
1;0;;;0;0;030959   A.O. S.ANNA - COMO;AZIENDA OSPEDALIERA;0;A.O. S.ANNA - COMO;0;;0;11;0;;137;2;0;0;3;90;;0;18;;0;356;0;8;;0;0;0;30;;;0;6;0;;0;0;6;;;;1;193;0;;;0;0;2;1.357;14;0;66;Lombardia;;187;18;2010;;;30959;13;;3;;170;0;;0;153;0;0;2;;1;0;6;482
0;1;;;0;0;030960   A.O. OSPEDALE DI LECCO - LECCO;AZIENDA OSPEDALIERA;0;A.O. OSPEDALE DI LECCO - LECCO;0;;0;9;;;91;;0;0;1;109;;;53;;0;165;0;4;1;0;0;0;30;0;;0;5;0;0;0;0;7;2;;;3;139;0;;;0;0;;1.218;8;0;47;Lombardia;;160;9;2010;;0;30960;11;;5;;105;0;3;;163;0;0;1;;;0;3;402
1;1;;;0;0;030962   A.O. OSPEDALI RIUNITI - BERGAMO;AZIENDA OSPEDALIERA;0;A.O. OSPEDALI RIUNITI - BERGAMO;0;;0;11;;;89;;0;0;7;191;;;62;;0;173;0;14;1;0;0;0;30;;;0;17;0;0;0;0;10;2;;;3;211;0;;;0;0;;1.695;14;0;37;Lombardia;;239;7;2010;;0;30962;20;;6;;116;0;;;149;0;0;1;;;0;4;543
0;1;;;0;0;030963   A.O. OSP.TREVIGLIO CARAVAGGIO-TREVIGLIO;AZIENDA OSPEDALIERA;0;A.O. OSP.TREVIGLIO CARAVAGGIO-TREVIGLIO;0;;0;7;;;90;1;0;0;2;100;;;75;;0;118;0;4;1;0;0;0;30;;;0;3;0;;0;0;8;;;;;107;;;;0;0;;817;7;0;35;Lombardia;;122;2;2010;;0;30963;15;;2;;54;0;;0;63;0;0;1;;;0;1;283
0;0;;;0;0;"030964   A.O. \BOLOGNINI\"" - SERIATE""";AZIENDA OSPEDALIERA;0;"A.O. \BOLOGNINI\"" - SERIATE""";0;;0;6;;;85;;0;0;2;108;;;72;;0;163;0;6;;0;0;0;30;0;;0;5;0;;0;0;11;;;;5;159;0;;;0;0;;947;8;0;23;Lombardia;;110;3;2010;;;30964;9;;4;;74;;2;;126;0;0;1;;;0;;294
0;0;;;0;0;"030965   A.O. \CARLO POMA\"" - MANTOVA""";AZIENDA OSPEDALIERA;0;"A.O. \CARLO POMA\"" - MANTOVA""";0;;1;9;0;;162;;0;0;6;99;;;72;;0;360;0;7;;0;0;0;30;0;;0;19;0;;0;0;9;;;;;351;;;;0;0;2;1.570;10;0;59;Lombardia;;229;20;2010;;;30965;12;;4;;124;0;1;;16;0;0;3;;;0;4;465
0;1;;;0;0;"030966   A.O. \LUIGI SACCO\"" - MILANO""";AZIENDA OSPEDALIERA;0;"A.O. \LUIGI SACCO\"" - MILANO""";0;;37;6;0;;45;2;0;0;1;60;;;37;;0;126;0;6;;0;0;0;30;;;0;1;0;;0;1;3;;;;3;97;0;;;0;1;2;621;6;0;33;Lombardia;1;115;7;2010;;;30966;16;0;2;;90;0;;0;14;0;0;1;;;0;1;319
1;1;;;0;1;"030967   A.O. \OSP.NIGUARDA CA'GRANDA\""-MILANO""";AZIENDA OSPEDALIERA;0;"A.O. \OSP.NIGUARDA CA'GRANDA\""-MILANO""";0;;6;7;0;;116;;0;0;9;125;;;92;;0;276;0;6;;0;0;0;30;;;0;162;0;0;0;0;10;1;;;1;363;0;;;0;0;3;1.363;12;0;60;Lombardia;;258;24;2010;;;30967;32;;6;;232;0;;;1;0;0;2;;;0;7;659
0;1;;;0;0;"030968   A.O. \IST.CLIN.PERFEZIONAMENTO\""-MILANO""";AZIENDA OSPEDALIERA;0;"A.O. \IST.CLIN.PERFEZIONAMENTO\""-MILANO""";0;;0;8;0;;119;1;0;0;7;223;;;89;;0;191;0;7;;0;0;0;30;0;;0;11;0;0;0;0;10;1;;;;204;;;;0;0;1;1.126;10;0;66;Lombardia;2;155;19;2010;;;30968;10;0;6;;142;0;3;0;62;0;0;2;;;0;3;462
0;1;;;0;0;030969   A.O. FATEBENEFRATELLI E OFTALMICO-MILANO;AZIENDA OSPEDALIERA;0;A.O. FATEBENEFRATELLI E OFTALMICO-MILANO;0;;3;8;0;;58;;;0;;53;;;67;;0;188;0;6;2;0;0;0;30;;;0;27;0;;0;1;5;;;;;150;;;;0;0;1;616;7;0;43;Lombardia;;108;4;2010;;0;30969;7;;1;;63;;;;4;0;0;1;;;0;;309
0;1;;;0;2;"030970   A.O. \SAN PAOLO\"" - MILANO""";AZIENDA OSPEDALIERA;0;"A.O. \SAN PAOLO\"" - MILANO""";0;;67;14;0;;47;1;;0;;71;;;35;;0;178;0;4;0;0;0;0;30;0;;1;37;0;;0;0;8;;;;;102;;;;0;0;1;645;8;0;61;Lombardia;1;102;20;2010;;0;30970;13;0;1;;55;;3;0;12;1;0;1;;;0;;270
0;0;;;0;0;030971   A.O. IST.ORTOPEDICO GAETANO PINI-MILANO;AZIENDA OSPEDALIERA;0;A.O. IST.ORTOPEDICO GAETANO PINI-MILANO;0;;6;;;;45;;;0;;23;;;24;;0;32;0;1;;0;0;0;30;;;0;12;0;;0;0;;;;;;137;;;;;0;;244;8;0;18;Lombardia;;37;5;2010;;;30971;2;;3;;25;;;;11;;0;1;;;0;;153
0;0;;;0;0;"030972   A.O. \S.CARLO BORROMEO\"" - MILANO""";AZIENDA OSPEDALIERA;0;"A.O. \S.CARLO BORROMEO\"" - MILANO""";0;;0;7;;;49;3;;0;;63;;;74;;0;119;0;5;;0;0;0;30;0;;0;4;0;;0;0;9;;;;1;86;0;;;0;0;;794;7;0;27;Lombardia;1;108;5;2010;;;30972;12;0;3;;77;;7;0;176;0;0;1;;;0;;312
1;1;;;0;0;030973   A.O. OSPEDALE CIVILE - LEGNANO;AZIENDA OSPEDALIERA;0;A.O. OSPEDALE CIVILE - LEGNANO;0;;0;8;;;117;3;0;0;4;110;;;90;;0;376;0;7;1;0;0;0;30;0;;0;34;0;0;0;0;9;1;0;;3;328;0;;;0;0;;1.453;11;0;36;Lombardia;;219;6;2010;;0;30973;24;;3;1;159;;3;0;61;0;0;1;;;0;;507
1;1;;;0;0;"030974   A.O. \G. SALVINI\"" - GARBAGNATE""";AZIENDA OSPEDALIERA;0;"A.O. \G. SALVINI\"" - GARBAGNATE""";0;;0;15;0;1;175;2;0;0;13;82;;;90;;0;341;0;7;3;0;0;0;30;0;;;7;0;;0;0;14;;;;6;368;0;;0;0;0;1;1.156;9;0;40;Lombardia;;159;14;2010;;0;30974;15;;1;;220;;2;0;18;0;0;;;;0;;506
0;1;;;0;0;030975   A.O. OSPEDALE DI CIRCOLO - MELEGNANO;AZIENDA OSPEDALIERA;0;A.O. OSPEDALE DI CIRCOLO - MELEGNANO;0;;0;11;0;;86;1;0;0;4;132;;;94;;0;113;0;7;2;0;0;0;30;;;0;49;0;;0;0;7;;;;1;178;0;;;0;0;2;1.052;5;0;43;Lombardia;0;144;8;2010;;0;30975;11;0;1;;99;;;0;12;0;0;1;;;0;;385
1;1;;;0;0;030976   A.O. OSPEDALE CIVILE - VIMERCATE;AZIENDA OSPEDALIERA;0;A.O. OSPEDALE CIVILE - VIMERCATE;0;;3;7;0;;127;0;0;0;3;171;;;101;;0;220;0;9;1;0;0;0;30;0;;0;5;0;0;0;0;17;4;;;7;227;0;;;0;0;3;1.330;8;0;44;Lombardia;;192;21;2010;;0;30976;6;;2;;83;0;1;0;14;0;0;1;;;0;1;493
0;1;;;0;1;"030977   A.O. \S.GERARDO\"" - MONZA""";AZIENDA OSPEDALIERA;0;"A.O. \S.GERARDO\"" - MONZA""";0;;52;8;0;;58;2;0;0;6;73;;;76;;0;247;0;6;1;0;0;0;30;0;;0;9;0;;0;1;11;;;;9;304;0;0;;0;0;2;1.206;14;0;64;Lombardia;;183;21;2010;;0;30977;12;;4;;138;0;1;0;16;0;0;1;1;;0;7;432
0;1;;;0;0;030978   A.O. DELLA PROVINCIA DI LODI;AZIENDA OSPEDALIERA;0;A.O. DELLA PROVINCIA DI LODI;0;;0;3;;;78;;0;0;4;71;;;61;;0;165;0;5;1;0;0;0;30;0;;0;11;0;;0;0;8;;;;2;175;0;;;0;0;;903;4;0;15;Lombardia;;105;2;2010;;0;30978;7;;2;;66;;3;;83;0;0;1;;;0;;308
0;1;;;0;0;030979   A.O. DELLA PROVINCIA DI PAVIA;AZIENDA OSPEDALIERA;0;A.O. DELLA PROVINCIA DI PAVIA;0;;0;9;0;;115;1;0;0;3;92;;;87;;0;183;0;5;1;0;0;0;30;;;0;25;0;;0;0;10;;1;;;329;;;;0;0;1;1.089;11;0;30;Lombardia;1;142;5;2010;;0;30979;12;0;2;0;61;;;0;152;0;0;2;;;0;;446
0;1;0;;0;0;030980   A.O. VALTELLINA E VALCHIAVENNA;AZIENDA OSPEDALIERA;0;A.O. VALTELLINA E VALCHIAVENNA;0;;0;8;;;130;;0;0;2;93;3;;136;;0;137;0;5;;0;0;0;30;0;;0;15;0;;0;0;14;;;;3;327;0;;;0;0;;1.091;5;0;43;Lombardia;1;145;9;2010;;;30980;11;0;2;;96;0;15;;347;0;0;1;;;0;3;325
1;1;1;;0;47;050901   AZIENDA OSPEDALIERA DI PADOVA;AZIENDA OSPEDALIERA;0;AZIENDA OSPEDALIERA DI PADOVA;48;;287;4;0;0;53;7;2;8;3;63;1;;54;;0;563;0;12;;11;2;86;50;0;;;5;33;5;29;8;6;5;;;2;170;1;0;9;0;2;2;2.301;12;0;115;Veneto;1;293;22;2010;;;50901;30;0;9;;205;1;3;0;89;1;4;;2;;0;0;561
0;1;;;0;0;060912   AZIENDA OSPEDALIERA 'S. MARIA DEGLI ANGE;AZIENDA OSPEDALIERA;0;AZIENDA OSPEDALIERA 'S. MARIA DEGLI ANGE;0;;0;1;;1;32;;0;0;2;92;;;103;;0;260;0;5;;0;0;0;60;;;0;4;0;0;0;0;1;3;;;;87;;;0;0;0;;698;9;0;43;Friuli-Venezia Giulia;;174;12;2010;;;60912;14;;3;;31;0;;;75;0;0;1;;;0;1;304
1;1;;;0;26;070930   AZ. OSPEDAL. UNIVERSITARIA SAN MARTINO;AZIENDA OSPEDALIERA;0;AZ. OSPEDAL. UNIVERSITARIA SAN MARTINO;39;;163;;0;;57;5;0;8;1;124;;;46;;5;451;0;13;2;10;0;10;70;6;;0;6;1;0;17;0;3;1;;;4;207;0;;;;0;2;2.041;8;0;80;Liguria;;245;16;2010;;0;70930;35;;1;;119;1;37;0;117;1;0;0;;;0;5;671
0;1;;;0;0;080903   AZIENDA OSPEDALIERA DI REGGIO EMILIA;AZIENDA OSPEDALIERA;0;AZIENDA OSPEDALIERA DI REGGIO EMILIA;0;;0;1;0;1;60;;0;0;5;78;;;7;;0;333;0;7;;0;0;0;80;;;0;3;0;0;0;0;0;3;;;;210;;;0;0;0;2;1.065;7;0;69;Emilia-Romagna;;223;15;2010;;;80903;30;;8;;75;0;;;10;0;0;1;;;0;7;428
0;1;7;;0;18;100901   AZIENDA OSPEDALIERA DI PERUGIA;AZIENDA OSPEDALIERA;7;AZIENDA OSPEDALIERA DI PERUGIA;5;;138;2;;;30;4;;20;;26;2;;;;5;210;1;7;1;22;2;9;100;0;;0;1;4;0;18;3;1;1;0;;5;190;0;;;0;3;;1.104;6;;91;Umbria;0;192;8;2010;;0;100901;26;0;1;24;74;1;1;0;13;0;0;2;;;0;5;401
0;1;;;0;1;100902   AZIENDA OSPEDALIERA 'S. MARIA' - TERNI;AZIENDA OSPEDALIERA;0;AZIENDA OSPEDALIERA 'S. MARIA' - TERNI;1;;28;2;;;25;1;;0;;5;;;10;;0;71;0;6;;3;0;0;100;;;0;10;1;;0;0;1;;;;1;59;0;;;0;0;;760;6;0;37;Umbria;;97;5;2010;;;100902;8;;0;;21;0;;0;57;0;0;1;;;0;4;312
0;1;;;0;0;110901   AZIENDA OSPEDALIERA SAN SALVATORE;AZIENDA OSPEDALIERA;0;AZIENDA OSPEDALIERA SAN SALVATORE;0;;0;1;;;11;;0;0;1;29;;;;;0;51;0;3;;0;0;0;110;0;;0;2;0;;0;0;;;;;3;68;0;;;0;0;;529;7;;27;Marche;;88;8;2010;;;110901;13;;2;;35;0;3;;103;;0;1;;;0;4;220
1;0;;;0;9;110905   A.O.U.OSPEDALI RIUNITI - ANCONA;AZIENDA OSPEDALIERA;0;A.O.U.OSPEDALI RIUNITI - ANCONA;13;;106;5;0;;44;;0;0;3;29;;;45;;0;88;0;11;1;0;1;1;110;0;;0;2;0;0;1;18;4;4;;;4;164;0;0;;0;0;5;1.517;10;0;65;Marche;;243;18;2010;;0;110905;26;;1;;114;0;5;;213;1;0;2;2;;0;5;545
1;1;;;0;0;120901   AZ.OSP.SAN CAMILLO-FORLANINI;AZIENDA OSPEDALIERA;0;AZ.OSP.SAN CAMILLO-FORLANINI;0;;0;2;0;;66;;0;0;2;96;;;102;;0;100;0;11;2;0;0;0;120;0;;0;93;0;0;0;0;11;1;;;10;117;0;0;;0;0;1;2.047;14;0;95;Lazio;3;312;5;2010;;0;120901;46;0;1;;201;0;19;;256;0;0;5;3;;0;7;941
1;1;0;;0;0;120902   AZIENDA OSP. S.GIOVANNI/ADDOLORATA ROMA;AZIENDA OSPEDALIERA;0;AZIENDA OSP. S.GIOVANNI/ADDOLORATA ROMA;0;;0;4;0;0;41;;0;0;2;54;4;;57;;0;87;0;8;2;0;0;0;120;0;;0;4;0;0;0;0;2;0;0;;1;77;0;0;0;0;0;2;1.166;10;0;66;Lazio;;150;16;2010;;0;120902;12;;3;0;79;0;2;;37;0;0;3;2;;0;3;582
0;1;0;;0;0;120903   AZ. COMPL. OSP. S.FILIPPO NERI;AZIENDA OSPEDALIERA;0;AZ. COMPL. OSP. S.FILIPPO NERI;0;;0;1;0;;17;;;0;;68;2;;52;;0;56;0;8;1;0;0;0;120;0;;0;5;0;;0;0;2;;;;4;45;0;;;0;0;1;894;5;0;37;Lazio;1;158;5;2010;;0;120903;9;0;3;;61;0;5;;62;0;0;1;;;0;3;462
1;1;;;0;0;150901   AZIENDA OSPEDALIERA 'A. CARDARELLI';AZIENDA OSPEDALIERA;0;AZIENDA OSPEDALIERA 'A. CARDARELLI';0;;0;21;0;;14;5;;0;;124;;;42;;0;280;0;14;;0;0;0;150;0;;0;3;0;0;0;0;;1;;;;178;;;;0;0;1;1.646;6;0;75;Campania;1;188;23;2010;;;150901;20;0;1;;73;0;39;0;45;;0;1;;;0;1;731
0;1;;;0;0;150902   A.O.SANTOBONO-PAUSILIPON;AZIENDA OSPEDALIERA;0;A.O.SANTOBONO-PAUSILIPON;0;;0;5;0;;15;;;0;;30;;;37;;0;69;0;3;;0;0;0;150;0;;0;5;0;0;0;0;2;1;;;3;75;0;;;0;0;0;506;7;0;32;Campania;1;73;2;2010;;;150902;11;0;1;;13;;2;;4;0;0;2;;;0;;246
0;0;;;0;0;150903   AZIENDA OSPEDALIERA VINCENZO MONALDI;AZIENDA OSPEDALIERA;0;AZIENDA OSPEDALIERA VINCENZO MONALDI;0;;0;3;;;27;;;0;;9;;;40;;0;116;0;5;;0;0;0;150;;;0;3;0;0;0;0;1;4;;;2;114;0;0;;0;0;;742;10;0;26;Campania;1;80;7;2010;;;150903;11;0;1;;40;;;;27;0;0;2;2;;0;;271
0;0;;;0;0;150904   A.O.OO.RR.S.GIOVANNI DI DIO E RUGGI D`AR;AZIENDA OSPEDALIERA;0;A.O.OO.RR.S.GIOVANNI DI DIO E RUGGI D`AR;0;;0;1;0;;14;3;;0;;20;;;30;;0;146;0;5;;;0;0;150;;;;;0;;0;0;;;3;;;161;;0;;0;0;1;957;11;0;39;Campania;2;133;2;2010;;;150904;9;0;3;0;38;0;;0;130;;0;;1;;0;2;380
0;1;;;0;0;150905   AZIENDA OSPEDALIERA S.G. MOSCATI;AZIENDA OSPEDALIERA;0;AZIENDA OSPEDALIERA S.G. MOSCATI;0;;0;9;0;;10;2;0;0;1;36;;;54;;0;101;0;4;;0;0;0;150;0;;0;1;0;0;0;0;;1;;;1;59;0;0;;0;0;1;675;5;0;37;Campania;1;81;1;2010;;;150905;18;0;1;;25;0;5;0;74;;0;0;6;;0;1;357
0;1;0;;0;0;150906   AZIENDA OSPEDALE `G.RUMMO`;AZIENDA OSPEDALIERA;0;AZIENDA OSPEDALE `G.RUMMO`;0;;0;3;0;;24;;;0;;26;7;;;;0;53;;6;;0;0;0;150;0;;0;14;0;0;0;0;;1;;;2;24;0;;;0;0;1;652;5;;16;Campania;;73;3;2010;;;150906;10;;2;;37;0;1;;22;;0;1;;;0;1;286
0;0;0;;0;0;150907   A.O. SANT'ANNA E SAN SEBASTIANO  CASERTA;AZIENDA OSPEDALIERA;0;A.O. SANT'ANNA E SAN SEBASTIANO  CASERTA;0;;0;4;;;25;;;0;;8;1;;24;;0;72;0;6;;;0;0;150;;;;;0;;0;0;1;;;;5;65;0;;;0;0;;717;7;0;47;Campania;;84;5;2010;;;150907;14;;2;;17;;;;14;0;0;;;;0;;384
0;1;;;0;0;150912   AZIENDA OSPEDALIERA COTUGNO;AZIENDA OSPEDALIERA;0;AZIENDA OSPEDALIERA COTUGNO;0;;0;;0;;;1;;0;;12;;;18;;0;42;0;1;;0;;0;150;0;;;3;0;0;0;0;1;1;;;1;62;0;0;;;0;1;227;6;0;14;Campania;1;22;2;2010;;;150912;9;0;3;;18;;5;0;18;0;0;;2;;0;;94
0;0;;;0;0;170901   AZIENDA OSPEDALIERA REGIONALE 'S. CARLO';AZIENDA OSPEDALIERA;0;AZIENDA OSPEDALIERA REGIONALE 'S. CARLO';0;;0;2;0;;60;2;;0;;33;;;43;;0;65;0;7;;0;0;0;170;0;;;11;0;0;0;0;2;1;;;2;101;0;;;0;0;1;900;5;0;34;Basilicata;1;105;11;2010;;;170901;14;0;1;;24;0;14;0;38;0;0;;;;0;1;346
0;1;;0;0;0;180912   AZIENDA OSPEDALIERA DI COSENZA;AZIENDA OSPEDALIERA;0;AZIENDA OSPEDALIERA DI COSENZA;0;;0;12;0;0;14;;;0;;30;;;51;;0;76;0;9;0;0;0;0;180;0;;0;15;0;0;0;0;1;1;;;;76;;0;0;0;0;0;690;9;0;71;Calabria;1;122;5;2010;0;0;180912;12;0;2;;84;0;6;;38;0;0;1;0;;0;2;426
